JD V-C s1 V-K1 s2 C1-K1 s3 C2-K1 s4 C3-K1 s5
Aperture: 10, JD: geocentric
2457918.4797617 -0.53459 0.00172 -0.85969 0.00279 -0.20057 0.00322 -0.52644 0.00297 -0.21629 0.00321
2457918.4805271 -0.53450 0.00171 -0.86523 0.00283 -0.20550 0.00324 -0.53031 0.00301 -0.22488 0.00322
2457918.4812926 -0.53246 0.00172 -0.85768 0.00276 -0.20142 0.00319 -0.52553 0.00293 -0.21703 0.00317
2457918.4820580 -0.53511 0.00169 -0.86800 0.00280 -0.21254 0.00320 -0.52954 0.00299 -0.22616 0.00321
2457918.4828238 -0.53715 0.00168 -0.86576 0.00280 -0.21019 0.00321 -0.52882 0.00298 -0.21522 0.00322
2457918.4835892 -0.53894 0.00171 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999
2457918.4843548 -0.53913 0.00168 -0.86335 0.00276 -0.20139 0.00318 -0.52499 0.00293 -0.21445 0.00317
2457918.4851202 -0.53909 0.00170 -0.86604 0.00275 -0.20443 0.00312 -0.52676 0.00292 -0.21817 0.00315
2457918.4858856 -0.53749 0.00169 -0.86455 0.00271 -0.20408 0.00311 -0.52524 0.00288 -0.22088 0.00316
2457918.4866519 -0.54048 0.00168 -0.86823 0.00271 -0.20573 0.00311 -0.52834 0.00289 -0.21743 0.00316
2457918.4874174 -0.54306 0.00169 -0.86612 0.00277 -0.20017 0.00317 -0.52337 0.00295 -0.21397 0.00322
2457918.4881829 -0.54256 0.00173 -0.86825 0.00276 -0.20286 0.00320 -0.52448 0.00294 -0.21856 0.00319
2457918.4889486 -0.53981 0.00176 -0.86788 0.00285 -0.20606 0.00325 -0.52687 0.00303 -0.22012 0.00328
2457918.4897145 -0.53497 0.00186 -0.86629 0.00292 -0.20900 0.00336 -0.53126 0.00309 -0.22217 0.00336
2457918.4904802 -0.53959 0.00171 -0.86422 0.00277 -0.20198 0.00324 -0.52485 0.00296 -0.21542 0.00320
2457918.4912458 -0.53947 0.00179 -0.86945 0.00289 -0.20854 0.00335 -0.52659 0.00308 -0.22436 0.00330
2457918.4920156 -0.53704 0.00172 -0.86459 0.00278 -0.20126 0.00319 -0.52795 0.00296 -0.22170 0.00320
2457918.4927812 -0.53907 0.00172 -0.85914 0.00271 -0.19433 0.00315 -0.52005 0.00290 -0.21424 0.00314
2457918.4935470 -0.53308 0.00171 -0.85892 0.00279 -0.20124 0.00317 -0.52587 0.00296 -0.21880 0.00320
2457918.4943124 -0.53884 0.00170 -0.86300 0.00275 -0.20228 0.00316 -0.52337 0.00293 -0.21554 0.00319
2457918.4950782 -0.53777 0.00168 -0.86174 0.00270 -0.19967 0.00312 -0.52504 0.00288 -0.21526 0.00315
2457918.4958437 -0.53356 0.00181 -0.86065 0.00290 -0.20330 0.00335 -0.52790 0.00307 -0.21823 0.00331
2457918.4966092 -0.53130 0.00168 -0.86166 0.00279 -0.21381 0.00317 -0.52732 0.00296 -0.21944 0.00319
2457918.4973747 -0.53818 0.00184 -0.85997 0.00290 -0.19550 0.00337 -0.52122 0.00310 -0.21722 0.00337
2457918.4981401 -0.53739 0.00167 -0.86434 0.00274 -0.20250 0.00313 -0.52877 0.00292 -0.21737 0.00318
2457918.4989056 -0.53208 0.00169 -0.86371 0.00274 -0.20890 0.00315 -0.53119 0.00290 -0.22339 0.00316
2457918.4996720 -0.53545 0.00165 -0.86757 0.00268 -0.21064 0.00308 -0.53339 0.00285 -0.22033 0.00308
2457918.5004375 -0.53491 0.00165 -0.86215 0.00266 -0.20392 0.00305 -0.52942 0.00282 -0.21608 0.00307
2457918.5012033 -0.53732 0.00166 -0.86761 0.00267 -0.20549 0.00306 -0.53230 0.00283 -0.22083 0.00305
2457918.5019688 -0.53595 0.00167 -0.86265 0.00268 -0.20609 0.00308 -0.52648 0.00284 -0.21605 0.00309
2457918.5027342 -0.53970 0.00164 -0.86771 0.00267 -0.20502 0.00307 -0.52518 0.00284 -0.22319 0.00306
2457918.5034996 -0.53680 0.00163 -0.86095 0.00266 -0.19998 0.00308 -0.52336 0.00282 -0.21776 0.00303
2457918.5042651 -0.53488 0.00163 -0.86111 0.00267 -0.20162 0.00306 -0.52783 0.00284 -0.21712 0.00306
2457918.5050306 -0.53825 0.00163 -0.86077 0.00261 -0.19925 0.00303 -0.52246 0.00279 -0.21428 0.00302
2457918.5057961 -0.53416 0.00162 -0.86315 0.00263 -0.20412 0.00304 -0.53064 0.00280 -0.22006 0.00306
2457918.5065616 -0.53830 0.00163 -0.86749 0.00265 -0.20955 0.00306 -0.52731 0.00282 -0.21978 0.00302
2457918.5073271 -0.53645 0.00164 -0.86238 0.00260 -0.20599 0.00302 -0.52241 0.00277 -0.21899 0.00300
2457918.5080927 -0.54191 0.00164 -0.86695 0.00268 -0.20001 0.00308 -0.52428 0.00285 -0.21947 0.00306
2457918.5088584 -0.53637 0.00165 -0.86176 0.00267 -0.20205 0.00308 -0.52542 0.00285 -0.21714 0.00308
2457918.5096238 -0.54006 0.00165 -0.86831 0.00269 -0.20660 0.00310 -0.52558 0.00286 -0.22186 0.00307
2457918.5103894 -0.53467 0.00165 -0.86218 0.00265 -0.20598 0.00306 -0.52600 0.00282 -0.21949 0.00308
2457918.5111547 -0.53473 0.00166 -0.86378 0.00270 -0.20787 0.00311 -0.52894 0.00286 -0.21882 0.00308
2457918.5119205 -0.53627 0.00166 -0.86091 0.00269 -0.20034 0.00310 -0.52329 0.00286 -0.21915 0.00310
