#HJD          dMag   Err    Fil
2456874.67725 1.1577 0.0023 I 
2456874.67739 1.1446 0.0023 I 
2456874.67753 1.1501 0.0022 I 
2456874.67767 1.1488 0.0023 I 
2456874.67781 1.1470 0.0022 I 
2456874.67794 1.1516 0.0022 I 
2456874.67808 1.1599 0.0021 I 
2456874.67822 1.1495 0.0020 I 
2456874.67836 1.1491 0.0020 I 
2456874.67850 1.1578 0.0021 I 
2456874.67863 1.1541 0.0021 I 
2456874.67877 1.1529 0.0021 I 
2456874.67891 1.1450 0.0021 I 
2456874.67905 1.1486 0.0022 I 
2456874.67919 1.1646 0.0021 I 
2456874.67933 1.1530 0.0020 I 
2456874.67947 1.1496 0.0021 I 
2456874.67961 1.1466 0.0021 I 
2456874.67975 1.1406 0.0021 I 
2456874.67989 1.1463 0.0021 I 
2456874.68002 1.1511 0.0021 I 
2456874.68016 1.1495 0.0021 I 
2456874.68030 1.1591 0.0022 I 
2456874.68044 1.1451 0.0021 I 
2456874.68058 1.1592 0.0021 I 
2456874.68072 1.1646 0.0021 I 
2456874.68086 1.1390 0.0021 I 
2456874.68099 1.1454 0.0020 I 
2456874.68113 1.1524 0.0020 I 
2456874.68127 1.1537 0.0021 I 
2456874.68141 1.1428 0.0020 I 
2456874.68155 1.1467 0.0021 I 
2456874.68169 1.1558 0.0022 I 
2456874.68182 1.1601 0.0022 I 
2456874.68196 1.1616 0.0021 I 
2456874.68210 1.1492 0.0021 I 
2456874.68224 1.1541 0.0022 I 
2456874.68238 1.1639 0.0021 I 
2456874.68252 1.1619 0.0021 I 
2456874.68266 1.1439 0.0021 I 
2456874.68279 1.1475 0.0022 I 
2456874.68293 1.1609 0.0021 I 
2456874.68307 1.1483 0.0023 I 
2456874.68321 1.1535 0.0023 I 
2456874.68335 1.1533 0.0022 I 
2456874.68348 1.1470 0.0022 I 
2456874.68362 1.1596 0.0024 I 
2456874.68376 1.1436 0.0023 I 
2456874.68390 1.1454 0.0023 I 
2456874.68404 1.1441 0.0021 I 
2456874.68418 1.1554 0.0021 I 
2456874.68432 1.1387 0.0021 I 
2456874.68446 1.1338 0.0022 I 
2456874.68459 1.1376 0.0022 I 
2456874.68473 1.1473 0.0021 I 
2456874.68487 1.1470 0.0021 I 
2456874.68501 1.1474 0.0022 I 
2456874.68515 1.1368 0.0022 I 
2456874.68529 1.1341 0.0022 I 
2456874.68543 1.1362 0.0023 I 
2456874.68556 1.1474 0.0021 I 
2456874.68570 1.1427 0.0023 I 
2456874.68585 1.1425 0.0021 I 
2456874.68599 1.1436 0.0021 I 
2456874.68613 1.1378 0.0021 I 
2456874.68627 1.1567 0.0023 I 
2456874.68641 1.1381 0.0025 I 
2456874.68654 1.1463 0.0024 I 
2456874.68668 1.1493 0.0022 I 
2456874.68682 1.1575 0.0023 I 
2456874.68696 1.1467 0.0023 I 
2456874.68710 1.1540 0.0023 I 
2456874.68724 1.1419 0.0022 I 
2456874.68738 1.1425 0.0022 I 
2456874.68752 1.1476 0.0021 I 
2456874.68765 1.1516 0.0021 I 
2456874.68779 1.1535 0.0021 I 
2456874.68793 1.1577 0.0021 I 
2456874.68807 1.1465 0.0022 I 
2456874.68821 1.1403 0.0022 I 
2456874.68835 1.1517 0.0022 I 
2456874.68848 1.1483 0.0021 I 
2456874.68862 1.1626 0.0022 I 
2456874.68876 1.1493 0.0021 I 
2456874.68890 1.1308 0.0021 I 
2456874.68904 1.1480 0.0021 I 
2456874.68918 1.1417 0.0021 I 
2456874.68931 1.1463 0.0021 I 
2456874.68945 1.1494 0.0021 I 
2456874.68959 1.1360 0.0021 I 
2456874.68973 1.1476 0.0021 I 
2456874.68987 1.1396 0.0021 I 
2456874.69001 1.1525 0.0022 I 
2456874.69015 1.1458 0.0021 I 
2456874.69028 1.1473 0.0023 I 
2456874.69042 1.1502 0.0023 I 
2456874.69056 1.1586 0.0023 I 
2456874.69070 1.1488 0.0022 I 
2456874.69081 1.1476 0.0021 I 
2456874.69100 1.1484 0.0022 I 
2456874.69114 1.1517 0.0022 I 
2456874.69128 1.1554 0.0022 I 
2456874.69141 1.1527 0.0022 I 
2456874.69155 1.1569 0.0022 I 
2456874.69169 1.1548 0.0022 I 
2456874.69183 1.1532 0.0022 I 
2456874.69197 1.1417 0.0021 I 
2456874.69211 1.1472 0.0022 I 
2456874.69225 1.1542 0.0022 I 
2456874.69239 1.1529 0.0022 I 
2456874.69253 1.1470 0.0022 I 
2456874.69263 1.1523 0.0021 I 
2456874.69277 1.1574 0.0021 I 
2456874.69290 1.1428 0.0022 I 
2456874.69304 1.1475 0.0023 I 
2456874.69318 1.1449 0.0022 I 
2456874.69332 1.1538 0.0022 I 
2456874.69346 1.1482 0.0023 I 
2456874.69360 1.1523 0.0022 I 
2456874.69373 1.1491 0.0021 I 
2456874.69387 1.1430 0.0021 I 
2456874.69401 1.1477 0.0021 I 
2456874.69415 1.1423 0.0021 I 
2456874.69429 1.1481 0.0021 I 
2456874.69443 1.1431 0.0021 I 
2456874.69457 1.1480 0.0021 I 
2456874.69471 1.1616 0.0021 I 
2456874.69485 1.1448 0.0022 I 
2456874.69498 1.1632 0.0022 I 
2456874.69512 1.1638 0.0021 I 
2456874.69526 1.1486 0.0022 I 
2456874.69540 1.1614 0.0021 I 
2456874.69554 1.1519 0.0021 I 
2456874.69568 1.1513 0.0021 I 
2456874.69581 1.1547 0.0022 I 
2456874.69595 1.1440 0.0021 I 
2456874.69609 1.1355 0.0021 I 
2456874.69623 1.1409 0.0021 I 
2456874.69637 1.1511 0.0021 I 
2456874.69651 1.1557 0.0021 I 
2456874.69664 1.1435 0.0021 I 
2456874.69679 1.1512 0.0021 I 
2456874.69692 1.1532 0.0021 I 
2456874.69706 1.1387 0.0021 I 
2456874.69720 1.1479 0.0021 I 
2456874.69734 1.1512 0.0022 I 
2456874.69748 1.1565 0.0021 I 
2456874.69762 1.1494 0.0022 I 
2456874.69776 1.1609 0.0022 I 
2456874.69789 1.1362 0.0023 I 
2456874.69803 1.1533 0.0022 I 
2456874.69817 1.1431 0.0021 I 
2456874.69831 1.1495 0.0021 I 
2456874.69845 1.1431 0.0021 I 
2456874.69859 1.1479 0.0022 I 
2456874.69873 1.1539 0.0022 I 
2456874.69886 1.1413 0.0021 I 
2456874.69900 1.1423 0.0021 I 
2456874.69914 1.1532 0.0022 I 
2456874.69928 1.1593 0.0022 I 
2456874.69942 1.1504 0.0022 I 
2456874.69956 1.1524 0.0022 I 
2456874.69970 1.1532 0.0022 I 
2456874.69984 1.1496 0.0023 I 
2456874.69997 1.1456 0.0022 I 
2456874.70011 1.1554 0.0023 I 
2456874.70025 1.1362 0.0022 I 
2456874.70039 1.1471 0.0022 I 
2456874.70053 1.1632 0.0022 I 
2456874.70067 1.1445 0.0021 I 
2456874.70080 1.1457 0.0021 I 
2456874.70094 1.1415 0.0021 I 
2456874.70108 1.1515 0.0021 I 
2456874.70122 1.1415 0.0021 I 
2456874.70136 1.1472 0.0022 I 
2456874.70150 1.1458 0.0021 I 
2456874.70164 1.1515 0.0021 I 
2456874.70178 1.1497 0.0021 I 
2456874.70192 1.1555 0.0021 I 
2456874.70205 1.1493 0.0021 I 
2456874.70219 1.1558 0.0022 I 
2456874.70233 1.1528 0.0021 I 
2456874.70247 1.1602 0.0021 I 
2456874.70261 1.1503 0.0022 I 
